Character,Meaning,Choices
加,add,"('加', 'add')"
斉,adjusted,"('斉', 'adjusted')"
進,advance,"('進', 'advance')"
酒,alcoholic drink,"('酒', 'alcoholic drink')"
皆,all,"('皆', 'all')"
角,angle,"('角', 'angle')"
添,annexed,"('添', 'annexed')"
甲,armor,"('甲', 'armor')"
矢,arrow,"('矢', 'arrow')"
品,article,"('品', 'article')"
脇,aside,"('脇', 'aside')"
会,association,"('会', 'association')"
渋,astringent,"('渋', 'astringent')"
達,attain,"('達', 'attain')"
秋,autumn,"('秋', 'autumn')"
玉,ball,"('玉', 'ball')"
竹,bamboo,"('竹', 'bamboo')"
浦,bay,"('浦', 'bay')"
岸,beach,"('岸', 'beach')"
熊,bear,"('熊', 'bear')"
成,become,"('成', 'become')"
後,behind,"('後', 'behind')"
下,below,"('下', 'below')"
益,benefit,"('益', 'benefit')"
徳,benevolence,"('徳', 'benevolence')"
鳥,bird,"('鳥', 'bird')"
黒,black,"('黒', 'black')"
青,blue,"('青', 'blue')"
板,board,"('板', 'board')"
本,book,"('本', 'book')"
岩,boulder,"('岩', 'boulder')"
豊,bountiful,"('豊', 'bountiful')"
枝,branch,"('枝', 'branch')"
牧,breed,"('牧', 'breed')"
橋,bridge,"('橋', 'bridge')"
明,bright,"('明', 'bright')"
寺,Buddhist temple,"('寺', 'Buddhist temple')"
尻,buttocks,"('尻', 'buttocks')"
須,by all means,"('須', 'by all means')"
施,carry out,"('施', 'carry out')"
城,castle,"('城', 'castle')"
杉,cedar,"('杉', 'cedar')"
安,cheap,"('安', 'cheap')"
桜,cherry tree,"('桜', 'cherry tree')"
伯,chief,"('伯', 'chief')"
子,child,"('子', 'child')"
児,child,"('児', 'child')"
菊,chrysanthemum,"('菊', 'chrysanthemum')"
丹,cinnabar,"('丹', 'cinnabar')"
丸,circle,"('丸', 'circle')"
爪,claw,"('爪', 'claw')"
服,clothes,"('服', 'clothes')"
比,compare,"('比', 'compare')"
賀,congratulations,"('賀', 'congratulations')"
正,correct,"('正', 'correct')"
国,country,"('国', 'country')"
工,craft,"('工', 'craft')"
鶴,crane,"('鶴', 'crane')"
越,cross over,"('越', 'cross over')"
股,crotch,"('股', 'crotch')"
筒,cylinder,"('筒', 'cylinder')"
紺,dark blue,"('紺', 'dark blue')"
日,day,"('日', 'day')"
深,deep,"('深', 'deep')"
難,difficult,"('難', 'difficult')"
方,direction,"('方', 'direction')"
司,director,"('司', 'director')"
堀,ditch,"('堀', 'ditch')"
戸,door,"('戸', 'door')"
染,dye,"('染', 'dye')"
早,early,"('早', 'early')"
東,east,"('東', 'east')"
