Surname,Surname2,Romaji Name,FirstChar,SecondChar
佐藤,佐藤,Satou,佐,藤
鈴木,鈴木,Suzuki,鈴,木
高橋,高橋,Takahashi,高,橋
田中,田中,Tanaka,田,中
渡辺,渡辺,Watanabe,渡,辺
伊藤,伊藤,Itou,伊,藤
山本,山本,Yamamoto,山,本
中村,中村,Nakamura,中,村
小林,小林,Kobayashi,小,林
加藤,加藤,Katou,加,藤
吉田,吉田,Yoshida,吉,田
山田,山田,Yamada,山,田
山口,山口,Yamaguchi,山,口
松本,松本,Matsumoto,松,本
井上,井上,Inoue,井,上
斎藤,斎藤,Saitou,斎,藤
木村,木村,Kimura,木,村
清水,清水,Shimizu,清,水
山崎,山崎,Yamazaki,山,崎
阿部,阿部,Abe,阿,部
池田,池田,Ikeda,池,田
橋本,橋本,Hashimoto,橋,本
山下,山下,Yamashita,山,下
石川,石川,Ishikawa,石,川
中島,中島,Nakajima,中,島
前田,前田,Maeda,前,田
藤田,藤田,Fujita,藤,田
小川,小川,Ogawa,小,川
岡田,岡田,Okada,岡,田
後藤,後藤,Gotou,後,藤
村上,村上,Murakami,村,上
近藤,近藤,Kondou,近,藤
石井,石井,Ishii,石,井
坂本,坂本,Sakamoto,坂,本
遠藤,遠藤,Endou,遠,藤
青木,青木,Aoki,青,木
藤井,藤井,Fujii,藤,井
西村,西村,Nishimura,西,村
福田,福田,Fukuda,福,田
太田,太田,Oota,太,田
斉藤,斉藤,Saitou,斉,藤
三浦,三浦,Miura,三,浦
藤原,藤原,Fujiwara,藤,原
岡本,岡本,Okamoto,岡,本
松田,松田,Matsuda,松,田
中川,中川,Nakagawa,中,川
中野,中野,Nakano,中,野
原田,原田,Harada,原,田
小野,小野,Ono,小,野
田村,田村,Tamura,田,村
竹内,竹内,Takeuchi,竹,内
金子,金子,Kaneko,金,子
和田,和田,Wada,和,田
中山,中山,Nakayama,中,山
石田,石田,Ishida,石,田
上田,上田,Ueda,上,田
森田,森田,Morita,森,田
柴田,柴田,Shibata,柴,田
酒井,酒井,Sakai,酒,井
工藤,工藤,Kudou,工,藤
横山,横山,Yokoyama,横,山
宮崎,宮崎,Miyazaki,宮,崎
宮本,宮本,Miyamoto,宮,本
内田,内田,Uchida,内,田
高木,高木,Takagi,高,木
安藤,安藤,Andou,安,藤
谷口,谷口,Taniguchi,谷,口
大野,大野,Oono,大,野
丸山,丸山,Maruyama,丸,山
今井,今井,Imai,今,井
高田,高田,Takada,高,田
河野,河野,Kouno,河,野
藤本,藤本,Fujimoto,藤,本
小島,小島,Kojima,小,島
武田,武田,Takeda,武,田
村田,村田,Murata,村,田
上野,上野,Ueno,上,野
杉山,杉山,Sugiyama,杉,山
増田,増田,Masuda,増,田
菅原,菅原,Sugawara,菅,原
平野,平野,Hirano,平,野
小山,小山,Koyama,小,山
大塚,大塚,Ootsuka,大,塚
千葉,千葉,Chiba,千,葉
久保,久保,Kubo,久,保
松井,松井,Matsui,松,井
岩崎,岩崎,Iwasaki,岩,崎
木下,木下,Kinoshita,木,下
野口,野口,Noguchi,野,口
松尾,松尾,Matsuo,松,尾
野村,野村,Nomura,野,村
菊地,菊地,Kikuchi,菊,地
佐野,佐野,Sano,佐,野
渡部,渡部,Watanabe,渡,部
大西,大西,Oonishi,大,西
杉本,杉本,Sugimoto,杉,本
新井,新井,Arai,新,井
古川,古川,Furukawa,古,川
桜井,桜井,Sakurai,桜,井
市川,市川,Ichikawa,市,川
小松,小松,Komatsu,小,松
島田,島田,Shimada,島,田
水野,水野,Mizuno,水,野
高野,高野,Takano,高,野
吉川,吉川,Yoshikawa,吉,川
山内,山内,Yamauchi,山,内
西田,西田,Nishida,西,田
菊池,菊池,Kikuchi,菊,池
西川,西川,Nishikawa,西,川
北村,北村,Kitamura,北,村
安田,安田,Yasuda,安,田
浜田,浜田,Hamada,浜,田
中田,中田,Nakata,中,田
